recid,hash,chash,start,end
GUT_GENOME138446_34,7583dce0805240b01627,ba05666fb8937d955dce,5799,6473
GUT_GENOME138446_34,c203313a479df2b4ce62,ba05666fb8937d955dce,6495,7343
GUT_GENOME138446_34,79b6d451e97d8c8477bc,ba05666fb8937d955dce,7355,8560
GUT_GENOME138446_34,6568ef123b73c0058587,ba05666fb8937d955dce,8654,9877
GUT_GENOME138446_34,49d1d6f06b6e49ba1fec,ba05666fb8937d955dce,10387,11310
GUT_GENOME138446_34,f4285f84871e44537a78,ba05666fb8937d955dce,11313,12653
GUT_GENOME138446_35,713dc005815511fc5243,6f041ccea88cf6dc8192,3,1118
GUT_GENOME138446_35,bb784f33a91dad006a79,6f041ccea88cf6dc8192,1143,1796
GUT_GENOME138446_35,dbde365c36660c20c61f,6f041ccea88cf6dc8192,1786,2313
GUT_GENOME138446_35,c072d06ee6a6ab788561,6f041ccea88cf6dc8192,2346,3179
GUT_GENOME138446_35,d6b961faa5cd9cb24009,6f041ccea88cf6dc8192,3204,4304
GUT_GENOME138446_35,dcd697ab821103728374,6f041ccea88cf6dc8192,4310,6304
GUT_GENOME138446_35,8e1710f77ef097e47d41,6f041ccea88cf6dc8192,6286,7365
GUT_GENOME138446_35,18914ef9ae4f177e46b6,6f041ccea88cf6dc8192,7554,8432
GUT_GENOME138446_35,e20b512503d0a4608c37,6f041ccea88cf6dc8192,8482,9036
GUT_GENOME138446_35,caf41e87cbf0071fa3c3,6f041ccea88cf6dc8192,9163,9954
GUT_GENOME138446_35,4a77fef9121e1b554658,6f041ccea88cf6dc8192,10034,10480
GUT_GENOME138446_35,f79f8277c9e916f7e326,6f041ccea88cf6dc8192,10549,10806
GUT_GENOME138446_35,f6f54b48a0187514fcc2,6f041ccea88cf6dc8192,10849,11343
GUT_GENOME138446_35,3299df7e648bfc083767,6f041ccea88cf6dc8192,11343,11702
GUT_GENOME138446_35,0d9261273f8934089586,6f041ccea88cf6dc8192,11695,12483
GUT_GENOME138446_36,9869cce185f1babd7860,fe90b2fa748546010dcf,3,911
GUT_GENOME138446_36,cbfd4c10c58f2a7a0e2f,fe90b2fa748546010dcf,1119,1658
GUT_GENOME138446_36,dc8b382cb954892284e4,fe90b2fa748546010dcf,1680,3026
GUT_GENOME138446_36,8d54f61955e24e9c2ad6,fe90b2fa748546010dcf,3127,3633
GUT_GENOME138446_36,301939d9cfea17f85b48,fe90b2fa748546010dcf,3638,4465
GUT_GENOME138446_36,f1894f1a10845787aa72,fe90b2fa748546010dcf,4603,5067
GUT_GENOME138446_36,ae7b9d774c8c989663d8,fe90b2fa748546010dcf,5255,7021
GUT_GENOME138446_36,e39cf272a7d6670e5042,fe90b2fa748546010dcf,7011,7478
GUT_GENOME138446_36,140c7a8b77a5ffc1bcdd,fe90b2fa748546010dcf,7788,8231
GUT_GENOME138446_36,787e0d3c076cfbd37fc2,fe90b2fa748546010dcf,8231,8650
GUT_GENOME138446_36,07ad86cb6c6854988578,fe90b2fa748546010dcf,8870,11512
GUT_GENOME138446_36,2825042c37ae96989b87,fe90b2fa748546010dcf,11821,12195
GUT_GENOME138446_37,6e9e0fd5bdae7eff7a58,ca43cc6a78729568970c,105,647
GUT_GENOME138446_37,7bfe7f6f051e9f1fe2e6,ca43cc6a78729568970c,703,1386
GUT_GENOME138446_37,191e63352996a63e504d,ca43cc6a78729568970c,1447,2112
GUT_GENOME138446_37,ce400a665764f6790dfc,ca43cc6a78729568970c,2090,2950
GUT_GENOME138446_37,7fe2a85c827813d5118e,ca43cc6a78729568970c,3012,3395
GUT_GENOME138446_37,d231fdd7fd895d5b36fc,ca43cc6a78729568970c,3444,3794
GUT_GENOME138446_37,5ac3754e19e16687437a,ca43cc6a78729568970c,3832,4170
GUT_GENOME138446_37,70af65d070c86203553c,ca43cc6a78729568970c,4453,4749
GUT_GENOME138446_37,5212dbcd33a3b3c50b0b,ca43cc6a78729568970c,4749,6185
GUT_GENOME138446_37,22b72fe9907371b3cd1b,ca43cc6a78729568970c,6178,7599
GUT_GENOME138446_37,a5596f167d42f0a64fe9,ca43cc6a78729568970c,8136,8303
